"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"133",2020,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2021,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2022,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2023,"mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2016,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2017,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2018,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2019,"michoac'an de ocampo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2020,"michoac'an de ocampo",22,93,82,52,44,54,45,34,23,31,19,17,10,7,10,10
"142",2021,"michoac'an de ocampo",11,24,21,8,8,7,3,3,2,5,9,4,6,1,2,2
"143",2022,"michoac'an de ocampo",7,20,16,8,7,2,1,3,1,0,1,1,0,0,1,1
"144",2023,"michoac'an de ocampo",14,63,65,40,29,32,25,21,13,12,14,8,7,6,7,5
"145",2016,"michoacan",10,10,32,28,29,13,20,11,11,9,14,18,9,5,3,6
"146",2017,"michoacan",9,8,6,3,7,6,7,3,1,4,7,3,2,2,0,1
"147",2018,"michoacan",15,11,6,4,0,2,3,2,2,1,0,2,1,0,1,0
"148",2019,"michoacan",35,53,38,37,23,22,22,20,16,13,7,8,2,5,2,7
"149",2020,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2021,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",2022,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",2023,"michoacan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",2016,"morelos",9,36,47,52,57,57,40,32,38,36,31,28,15,10,14,18
"154",2017,"morelos",6,15,16,22,16,17,20,15,25,12,9,11,9,4,6,10
"155",2018,"morelos",5,5,15,11,9,5,5,10,10,9,9,4,5,1,2,0
"156",2019,"morelos",49,138,197,204,167,156,155,175,122,122,111,112,63,52,32,41
"157",2020,"morelos",13,32,38,26,29,22,23,23,17,22,21,8,4,9,6,4
"158",2021,"morelos",23,66,67,61,25,51,30,24,21,15,9,18,2,12,3,6
"159",2022,"morelos",12,36,61,41,34,33,32,26,16,13,14,13,7,6,1,6
"160",2023,"morelos",90,335,549,451,368,397,341,279,251,247,228,174,178,107,80,83
"161",2016,"nayarit",13,21,18,24,36,23,25,22,19,14,2,12,7,6,4,15
"162",2017,"nayarit",3,2,2,7,6,5,3,5,9,3,8,7,7,2,1,5
"163",2018,"nayarit",3,5,5,5,4,6,6,3,2,4,2,0,2,2,2,3
"164",2019,"nayarit",31,85,98,74,66,78,74,66,56,53,37,36,23,14,11,18
"165",2020,"nayarit",36,118,134,63,74,73,71,73,67,76,44,50,34,15,17,35
"166",2021,"nayarit",4,3,4,5,2,4,1,5,2,0,4,4,1,2,0,2
"167",2022,"nayarit",2,4,2,4,2,3,2,1,0,0,1,0,0,4,0,1
"168",2023,"nayarit",5,22,22,17,17,11,17,9,7,8,8,11,11,7,2,9
"169",2016,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",2017,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",2018,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",2019,"nuevo le'on",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",2020,"nuevo le'on",19,34,70,50,54,47,35,45,31,24,31,25,21,13,6,11
"174",2021,"nuevo le'on",5,3,4,3,2,2,1,1,1,1,0,0,0,0,0,2
"175",2022,"nuevo le'on",2,2,5,2,5,3,1,3,1,2,3,1,1,0,2,1
"176",2023,"nuevo le'on",5,8,10,8,2,2,5,2,7,6,1,1,4,2,1,3
"177",2016,"nuevo leon",3,5,10,3,6,11,8,8,6,7,8,9,6,9,4,5
"178",2017,"nuevo leon",18,35,94,64,86,80,60,45,70,60,37,38,35,22,8,11
"179",2018,"nuevo leon",13,32,61,49,82,57,48,42,31,28,26,21,16,17,6,10
"180",2019,"nuevo leon",9,19,39,26,27,37,26,25,17,24,23,13,11,5,2,13
"181",2020,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",2021,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2022,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",2023,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2016,"oaxaca",40,27,44,35,38,29,31,20,16,24,9,11,13,6,13,23
"186",2017,"oaxaca",59,58,40,51,51,38,23,14,19,11,6,12,11,3,8,2
"187",2018,"oaxaca",126,236,200,147,96,83,54,39,37,20,29,25,19,18,11,10
"188",2019,"oaxaca",232,524,497,323,209,199,162,123,103,83,89,78,54,29,27,65
"189",2020,"oaxaca",25,104,72,66,36,40,32,26,17,26,17,19,9,9,6,13
"190",2021,"oaxaca",42,125,121,117,59,49,64,54,31,27,20,36,12,8,11,13
"191",2022,"oaxaca",53,164,199,127,87,90,83,65,50,61,40,31,26,17,14,29
"192",2023,"oaxaca",134,335,472,353,237,227,206,197,149,124,128,130,96,86,60,80
"193",2016,"puebla",4,2,2,6,6,7,3,3,2,5,6,0,5,1,3,3
"194",2017,"puebla",2,4,12,13,6,11,6,6,5,10,6,1,1,2,1,3
"195",2018,"puebla",2,1,5,4,3,2,1,1,4,0,1,0,1,0,0,1
"196",2019,"puebla",29,77,125,93,100,90,83,55,35,45,35,39,25,14,10,10
"197",2020,"puebla",14,39,47,39,29,33,27,21,20,29,14,10,8,6,1,4
"198",2021,"puebla",6,9,3,4,5,11,6,1,2,2,2,1,0,1,1,1
"199",2022,"puebla",3,15,17,7,5,7,6,0,1,2,3,3,1,0,0,1
"200",2023,"puebla",28,109,152,117,68,76,71,63,41,44,43,34,34,20,12,11
"201",2016,"quer'etaro",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"202",2017,"quer'etaro",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"203",2018,"quer'etaro",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"204",2019,"quer'etaro",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"205",2020,"quer'etaro",NA,4,5,1,3,0,1,1,1,0,1,2,1,0,NA,0
"206",2021,"quer'etaro",NA,0,1,0,1,0,0,0,0,0,0,0,0,1,NA,0
"207",2022,"quer'etaro",NA,0,0,1,1,1,0,1,0,1,0,0,0,0,NA,0
"208",2023,"quer'etaro",NA,5,2,2,5,2,2,0,2,0,0,2,0,0,NA,1
"209",2016,"queretaro",0,0,0,0,0,0,0,1,0,0,NA,NA,NA,0,NA,NA
"210",2017,"queretaro",0,1,2,1,0,3,0,1,0,1,NA,NA,NA,0,NA,NA
"211",2018,"queretaro",0,1,0,0,0,0,0,3,0,0,NA,NA,NA,1,NA,NA
"212",2019,"queretaro",1,2,1,2,2,5,3,2,1,1,NA,NA,NA,0,NA,NA
"213",2020,"queretaro",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA
"214",2021,"queretaro",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA
"215",2022,"queretaro",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA
"216",2023,"queretaro",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA
"217",2016,"quintana roo",5,17,21,27,33,24,22,21,16,15,12,12,11,7,4,11
"218",2017,"quintana roo",18,6,10,9,14,18,9,8,8,7,6,4,5,4,2,8
"219",2018,"quintana roo",14,35,36,25,14,14,19,9,12,5,3,8,6,4,1,1
"220",2019,"quintana roo",183,456,458,299,302,295,215,169,137,101,81,57,41,22,15,12
"221",2020,"quintana roo",20,56,53,31,29,26,23,15,12,7,9,9,5,2,3,4
"222",2021,"quintana roo",1,3,6,1,2,0,1,3,1,0,0,2,1,1,0,0
"223",2022,"quintana roo",7,36,56,29,28,23,27,14,14,12,11,8,3,4,2,2
"224",2023,"quintana roo",72,331,550,495,328,292,229,174,122,88,81,50,43,31,8,15
"225",2016,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",2017,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",2018,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",2019,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",2020,"san luis potos'i",11,21,22,21,26,27,14,12,14,12,9,12,2,2,11,5
"230",2021,"san luis potos'i",0,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
"231",2022,"san luis potos'i",0,1,0,0,1,0,2,0,2,0,0,0,1,0,0,0
"232",2023,"san luis potos'i",3,6,16,12,15,23,7,6,6,6,7,14,3,3,1,8
"233",2016,"san luis potosi",0,0,3,2,0,0,1,2,0,0,0,0,0,0,2,3
"234",2017,"san luis potosi",0,0,0,0,1,1,3,3,0,0,1,1,0,1,0,0
"235",2018,"san luis potosi",2,5,8,11,9,8,7,7,4,4,2,3,0,0,0,2
"236",2019,"san luis potosi",18,50,61,58,59,81,49,39,31,17,22,19,14,7,9,12
"237",2020,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",2021,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",2022,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",2023,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",2016,"sinaloa",5,9,20,18,30,13,16,11,9,9,4,7,6,3,4,12
"242",2017,"sinaloa",3,3,4,4,10,7,4,1,0,2,1,5,2,2,1,5
"243",2018,"sinaloa",5,3,5,10,7,8,5,9,4,7,2,4,3,1,2,3
"244",2019,"sinaloa",6,18,14,20,20,25,14,13,16,6,10,12,3,4,3,9
"245",2020,"sinaloa",25,80,90,78,46,52,33,36,34,28,23,14,12,10,9,9
"246",2021,"sinaloa",27,114,153,117,68,78,65,53,46,38,52,40,27,19,12,27
"247",2022,"sinaloa",11,38,68,66,49,49,34,29,37,24,29,24,19,11,9,16
"248",2023,"sinaloa",3,11,29,23,20,8,11,13,7,9,7,5,6,4,4,3
"249",2016,"sonora",3,3,6,12,6,12,5,6,3,8,5,5,1,0,2,5
"250",2017,"sonora",4,8,5,7,4,5,2,2,2,2,3,2,1,4,0,1
"251",2018,"sonora",0,4,3,8,6,5,2,2,1,4,2,3,2,1,0,0
"252",2019,"sonora",4,15,27,34,29,33,26,19,21,18,12,10,13,6,4,8
"253",2020,"sonora",2,4,3,4,5,2,2,1,0,1,5,0,1,1,0,0
"254",2021,"sonora",5,1,8,6,4,6,7,7,3,3,6,1,0,0,0,1
"255",2022,"sonora",27,97,182,210,201,189,160,129,118,138,95,104,71,68,51,68
"256",2023,"sonora",3,7,4,1,4,0,1,2,3,6,1,0,3,3,3,1
"257",2016,"tabasco",6,21,38,43,34,28,44,31,29,23,22,16,15,12,9,13
"258",2017,"tabasco",5,3,6,5,7,13,9,8,2,4,3,1,3,2,1,1
"259",2018,"tabasco",10,18,22,12,19,14,13,8,8,8,5,1,2,1,0,0
"260",2019,"tabasco",84,306,267,160,122,97,80,83,63,59,46,26,16,10,9,22
"261",2020,"tabasco",17,85,86,60,24,29,27,32,24,15,18,11,8,2,4,7
"262",2021,"tabasco",2,9,9,6,4,7,3,4,1,7,0,4,1,1,1,0
"263",2022,"tabasco",9,35,65,47,30,24,25,14,6,11,4,10,5,5,0,3
"264",2023,"tabasco",38,143,243,179,127,83,87,56,41,47,32,31,17,11,9,11
"265",2016,"tamaulipas",7,7,0,3,8,12,8,13,5,4,5,6,2,2,4,3
"266",2017,"tamaulipas",11,14,18,24,22,15,19,9,18,25,14,14,8,5,5,10
"267",2018,"tamaulipas",9,13,10,6,9,8,3,5,5,9,1,6,4,3,1,3
"268",2019,"tamaulipas",24,69,103,76,70,64,55,53,50,40,29,33,21,12,10,14
"269",2020,"tamaulipas",55,141,155,142,143,146,107,106,92,103,75,53,38,29,29,45
"270",2021,"tamaulipas",3,2,1,0,2,1,3,3,2,1,1,1,2,0,3,0
"271",2022,"tamaulipas",0,3,4,2,4,1,1,2,3,3,1,0,0,2,1,1
"272",2023,"tamaulipas",8,12,9,13,7,7,5,4,5,3,2,3,4,2,3,0
"273",2016,"tlaxcala",0,1,0,0,0,0,0,1,2,0,0,0,1,NA,NA,NA
"274",2017,"tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"275",2018,"tlaxcala",0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"276",2019,"tlaxcala",1,2,2,0,1,0,3,2,0,1,0,1,0,NA,NA,NA
"277",2020,"tlaxcala",0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"278",2021,"tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"279",2022,"tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"280",2023,"tlaxcala",0,0,1,1,0,1,0,1,1,0,1,0,0,NA,NA,NA
"281",2016,"veracruz",35,38,44,92,119,89,75,59,52,61,51,51,51,38,27,60
"282",2017,"veracruz",56,78,84,60,51,47,44,36,32,27,27,24,25,12,10,20
"283",2018,"veracruz",115,234,235,169,147,139,90,72,52,47,54,35,26,32,15,24
"284",2019,"veracruz",303,840,813,723,476,430,366,260,202,190,233,185,139,114,69,108
"285",2020,"veracruz",37,131,147,85,65,56,50,49,46,37,30,32,27,11,20,17
"286",2021,"veracruz",20,100,116,72,44,40,28,34,34,25,32,23,10,13,13,11
"287",2022,"veracruz",22,134,183,152,66,66,59,70,43,39,38,39,29,14,23,19
"288",2023,"veracruz",116,526,653,532,401,347,328,265,213,242,224,195,167,131,63,154
"289",2016,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"290",2017,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291",2018,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292",2019,"yucat'an",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",2020,"yucat'an",7,28,36,20,12,16,9,8,4,6,4,5,5,4,1,3
"294",2021,"yucat'an",3,0,2,0,1,2,3,1,0,1,0,0,1,0,0,0
"295",2022,"yucat'an",6,32,59,38,25,20,11,9,12,8,5,6,2,4,2,3
"296",2023,"yucat'an",139,690,1443,1452,1010,497,339,240,201,164,132,109,80,65,53,50
