"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"182",2021,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",2022,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",2023,"nuevo leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2016,"oaxaca",137,145,258,239,258,266,253,192,167,159,128,76,66,37,35,46
"186",2017,"oaxaca",151,190,232,188,186,169,117,80,83,56,54,44,38,22,18,11
"187",2018,"oaxaca",395,754,747,552,389,329,244,194,165,139,99,88,81,44,29,46
"188",2019,"oaxaca",984,1953,2340,1838,1397,1431,1170,914,805,640,511,391,269,186,116,169
"189",2020,"oaxaca",104,269,308,260,296,373,314,238,203,179,126,97,50,44,35,45
"190",2021,"oaxaca",138,316,417,369,321,366,313,263,191,157,118,110,67,49,23,36
"191",2022,"oaxaca",201,457,607,438,403,445,365,323,269,243,195,147,101,74,50,75
"192",2023,"oaxaca",797,1911,2638,2127,1888,1935,1903,1668,1254,1080,985,776,572,470,285,349
"193",2016,"puebla",31,82,138,151,155,137,136,125,113,108,88,54,54,23,21,25
"194",2017,"puebla",39,113,210,245,197,202,140,153,96,104,54,62,39,26,23,18
"195",2018,"puebla",19,24,68,55,56,67,49,35,21,15,13,13,10,4,2,3
"196",2019,"puebla",191,507,802,695,592,589,501,423,329,317,229,199,153,86,47,53
"197",2020,"puebla",90,253,335,306,389,410,331,290,284,194,158,118,76,57,19,31
"198",2021,"puebla",19,34,49,42,51,63,56,43,25,21,25,18,18,8,5,10
"199",2022,"puebla",14,69,81,64,37,55,68,39,21,21,14,13,11,3,1,7
"200",2023,"puebla",245,775,1096,789,643,660,685,536,401,378,279,208,155,122,63,95
"201",2016,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",2017,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",2018,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",2019,"quer'etaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",2020,"quer'etaro",4,20,37,54,59,62,48,38,30,28,26,19,12,10,6,7
"206",2021,"quer'etaro",0,0,2,0,1,0,1,2,0,0,0,0,0,1,0,0
"207",2022,"quer'etaro",0,0,0,2,1,1,1,1,0,1,0,0,0,1,0,1
"208",2023,"quer'etaro",1,17,17,15,17,21,13,11,14,11,7,5,8,1,0,2
"209",2016,"queretaro",3,1,4,0,3,5,4,5,4,3,3,0,4,0,1,1
"210",2017,"queretaro",4,6,16,11,13,23,14,18,11,9,9,12,7,2,1,1
"211",2018,"queretaro",1,2,1,0,1,1,1,8,1,0,0,0,0,1,0,1
"212",2019,"queretaro",3,5,9,9,10,15,16,13,7,6,3,2,1,1,2,0
"213",2020,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",2021,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",2022,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",2023,"queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",2016,"quintana roo",96,160,217,235,286,243,228,203,170,141,102,64,52,25,16,31
"218",2017,"quintana roo",38,39,63,69,73,60,52,46,34,27,26,22,19,14,7,14
"219",2018,"quintana roo",48,83,123,95,86,79,69,62,39,39,21,23,20,10,3,10
"220",2019,"quintana roo",524,1081,1422,991,1016,1047,817,612,451,355,272,186,108,59,41,33
"221",2020,"quintana roo",64,127,154,103,133,165,111,95,83,49,54,34,21,5,14,10
"222",2021,"quintana roo",7,9,13,16,17,28,20,21,13,10,10,5,2,5,2,3
"223",2022,"quintana roo",47,174,222,164,193,213,178,122,80,81,52,19,15,12,4,5
"224",2023,"quintana roo",679,1564,2116,2072,2764,2621,2215,1666,1246,938,747,484,309,143,76,56
"225",2016,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",2017,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",2018,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",2019,"san luis potos'i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",2020,"san luis potos'i",116,373,563,571,682,714,617,517,395,322,230,183,127,92,78,94
"230",2021,"san luis potos'i",8,16,28,32,42,39,40,28,20,15,14,12,10,6,7,6
"231",2022,"san luis potos'i",1,1,4,4,3,2,3,3,6,2,3,2,1,0,1,1
"232",2023,"san luis potos'i",33,92,175,144,119,128,117,113,103,84,68,71,39,40,17,31
"233",2016,"san luis potosi",7,16,30,24,17,20,24,18,17,7,10,7,5,2,5,10
"234",2017,"san luis potosi",2,16,11,18,17,16,16,13,13,13,14,8,12,9,6,7
"235",2018,"san luis potosi",40,116,191,151,139,139,130,109,72,53,40,29,18,15,15,19
"236",2019,"san luis potosi",271,670,1170,1187,936,974,804,593,407,339,252,237,153,114,66,104
"237",2020,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
