"","NOM_ENT","Year","1A4","5A9","10A14","15A19","20A24","25A29","30A34","35A39","40A44","45A49","50A54","55A59","60A64","65A69","70A74","75YMAS"
"80","durango","2023",134991.780940901,179427.619457764,170515.036110844,160741.05905044,151709.971000866,148122.412253165,135233.386356889,118754.863286357,115377.421886225,117190.3515072,103540.339255073,89426.7810643131,76119.7814390888,55012.8748008507,39578.1624475107,61143.6843173735
"81","guanajuato","2016",446863.568159895,556485.076509369,577820.892574626,561911.443328252,546062.873624134,468124.229021005,438082.923318673,421885.534851102,389173.204425616,321133.618821852,279934.516854032,222619.056129132,179462.84379944,137098.658950966,101441.646249032,163580.557951625
"82","guanajuato","2017",445428.761957608,554507.513841807,570834.045730131,559713.923244575,544955.106483217,476574.230764157,444240.420213192,426319.869798375,393803.415272759,331891.426051044,289186.955014987,229466.577664697,187716.514684197,142957.974081237,105464.664247668,169209.165906392
"83","guanajuato","2018",443998.56268456,552536.978773492,563931.681862031,557524.997209971,543849.5866074,485176.761526388,450484.464119677,430800.81294811,398488.714322906,343009.614160958,298745.206167081,236524.721561148,196349.779927493,149067.704307166,109647.228886325,175031.44741201
"84","guanajuato","2019",442572.95554865,550573.446330675,557112.779426065,555344.63161488,542746.309437782,493934.574573597,456816.271504071,435328.854187645,403229.756991158,354500.255721442,308619.378087737,243799.966334641,205380.097443396,155438.551855675,113995.667536732,181054.0665397
"85","guanajuato","2020",441151.925805275,548616.891628357,550376.329230197,553172.792981185,541645.270424711,502850.472870249,463237.075930419,439904.488553401,408027.206490454,366375.827727082,318819.912638173,251298.989773489,214825.728052433,162081.676344887,118516.558504342,187283.916663268
"86","guanajuato","2021",439735.458757171,546667.289869972,543721.334285253,551009.447961693,540546.465027766,511927.309976468,469748.128301189,444528.216285006,412881.733924351,378649.225145214,329357.596805588,259028.675067553,224705.772408046,169008.714332085,123216.740979978,193728.128349125
"87","guanajuato","2022",438323.539754267,544724.616347071,537146.809657372,548854.563339626,539449.888715732,521167.990961332,476350.697100971,449200.542879984,417794.018380896,391333.774917796,340243.57411032,266996.117126174,235040.20962132,176231.799697112,128103.325386138,200394.077517795
"88","guanajuato","2023",436916.154193529,542788.846439014,530651.782322235,546708.10602811,538355.536966592,530575.473332642,483046.068643604,453921.979149017,422764.747027628,404443.250432326,351489.356390036,275208.629090439,245849.937662108,183763.584896917,133183.704133623,207289.39388625
"89","guerrero","2016",281551.170952511,361265.236207973,367561.668263973,352313.024516591,305733.82060866,251904.844268139,236142.931830557,224879.289273667,203373.330025304,176905.197566791,165943.699605496,136755.004325727,114274.399153901,91527.6657283191,71863.3212858884,120160.83165265
"90","guerrero","2017",278386.609524266,359039.719010317,363069.000001297,346037.857904446,299916.3743475,253227.781652631,236841.333181811,224424.408544664,205004.024152246,180459.816464541,168110.871542708,139854.542387692,117396.336336848,94638.9788007483,73294.3337751193,123866.06144383
"91","guerrero","2018",275257.616937732,356827.91175843,358631.245158221,339874.460410301,294209.621371544,254557.666753147,237541.800080586,223970.44793809,206647.793559684,184085.859580924,170306.346056134,143024.331160005,120603.563767186,97856.0551848236,74753.8419796566,127685.544170985
"92","guerrero","2019",272163.793408444,354629.729994367,354247.732533697,333820.841276539,288611.455429556,255894.536057249,238244.338635814,223517.40559274,208304.743088225,187784.762068104,172530.492768418,146265.962867767,123898.411545065,101182.490107972,76242.4133339544,131622.802890473
"93","guerrero","2020",269104.743645406,352445.08978047,349917.799130696,327875.045203598,283119.810347654,257238.42624412,238948.954974494,223065.279651178,209974.978419111,191557.987915269,174783.686129358,149581.065823698,127283.273428168,104622.0010107,77760.626571775,135681.469294166
"94","guerrero","2021",266080.076800595,350273.907696168,345640.790055933,322035.151718422,277732.659266728,258589.374185573,239655.655241748,222614.068259722,211658.606080959,195407.030528059,177066.305478947,152971.305246056,130760.608570814,108178.431701007,79309.0719511911,139865.287059285
"95","guerrero","2022",263089.406419013,348116.100834786,341416.058420818,316299.274554149,272448.013894369,259947.416947062,240364.445600871,222163.769568441,213355.733456559,199333.413319645,179378.735111238,156438.384095099,134332.943310568,111855.756650004,80888.3514840695,144178.115301537
"96","guerrero","2023",260132.350389316,345971.586800386,337242.965243611,310665.561040857,267263.923771022,261312.591788698,241075.332233385,221714.381731145,215066.46878972,203338.690313678,181721.36433904,159984.043928506,138002.873003667,115658.085433572,82499.0791701238,148623.932134727
"97","hidalgo","2016",203291.637629383,275021.604579878,281918.770133672,257136.498950689,243324.925498579,211596.164816194,214691.898912495,205460.556815411,198077.968270057,168204.252735205,153000.413265776,120708.68260254,98460.577104257,77835.3978540022,58490.6390569612,90416.6108246731
"98","hidalgo","2017",201722.647879793,273715.329568401,282430.511518275,260963.508131127,242093.111809852,216374.000642402,217093.19246754,209391.295277222,201296.122652677,174484.958495242,157511.300218872,125253.468772429,103248.011084775,81400.9382135824,60340.3458103237,94009.0943616756
"99","hidalgo","2018",200165.767476474,272415.258994602,282943.181820256,264847.475383744,240867.53408302,221259.719875676,219521.34409579,213397.234084515,204566.562091131,181000.184276044,162155.180937601,129969.370067465,108268.223754915,85129.8114320714,62248.5476515942,97744.3164712249
"100","hidalgo","2019",198620.902960393,271121.363389152,283456.782725793,268789.248425866,239648.160749008,226255.758520502,221976.654200374,217479.811921651,207890.136055872,187758.68699797,166935.976456092,134862.829119924,113532.533478245,89029.4995795367,64217.0944282165,101627.948522412
"101","hidalgo","2020",197087.961593826,269833.613422695,283971.315924127,272789.687591549,238434.960398554,231364.607586289,224459.426544379,221640.494996972,211267.707818621,194769.550562648,171857.723411703,139940.531132748,119052.808949437,93107.8274701385,66247.8944871714,105665.887222349
"102","hidalgo","2021",195566.851354789,268551.979905179,284486.783107564,276849.666019356,237227.901781405,236588.814329368,226969.968288434,225880.77756937,214700.154676596,202042.198062378,176924.577453332,145209.413012547,124841.495952938,97372.9783627993,68342.916524965,109864.263569425
"103","hidalgo","2022",194057.480931522,267276.433785198,285003.18597148,280970.069842932,236026.953805509,241930.983523053,229508.590028708,230202.18248493,218188.368180381,209586.404445427,182140.816750214,150676.672846457,130911.64542272,101833.510381102,70504.1914961207,114229.452162298
"104","hidalgo","2023",192559.759716996,266006.946149331,285520.526214331,285151.798384408,234832.085536216,247393.778756371,232075.605835336,234606.261723844,221733.254365497,217412.309654246,187510.845604173,156349.779735812,137276.942866372,106498.373685361,72733.8145820256,118768.080878758
"105","jalisco","2016",578038.986084013,728783.279234886,739928.825991745,716639.506990341,709573.769979266,636299.00139953,606163.578835191,562331.85508355,536998.087405581,445440.283141881,395860.096020564,312117.274192881,265006.271335502,206718.496439853,150705.811850687,223052.286273995
